爱好,小众程度,入坑时间,总花销,领域内程度等级,领域内程度描述,每日时长,金钱投入门槛,时间投入门槛,社会认知程度描述,社会认知程度等级
键盘客制化,多维度的键盘DIY,<1年,6000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,数百元/数万元,十小时/数月,3 - 不高不低,3
收集茶叶袋,各种茶叶不同品牌的,5~10年,几万,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门精通都一样,低时间成本,,
棉花娃娃,类似于bjd，但是是用棉花做的娃娃来进行打扮。,1~3年,两三千,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,几百；几千几万都有可能,一两个月；大半年以上,3 - 不高不低,3
集邮,,>10年,50000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,10000,半年,5 - 广为人知，老少咸宜的全民爱好,5
kpop〔追星？〕,应该不算小众，通俗来讲就是追韩国男团、女团，对各家韩国娱乐公司和旗下艺人，团队歌曲风格等比较了解和感兴趣，并花钱购买专辑和周边等。,1~3年,6000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,"入门：200〔所谓买一张专辑就能正式入坑，拥有“粉籍”〕
精通：20w〔保守估计，没有办法给一个确切的数字，追星的人花钱如流水，流着流着就精通了〕","入门：2天〔在网上入坑刷基础的kpop物料一天之内就能有一个对基本情况的大概了解〕
精通：2年〔如果以一个团体为单位讨论的话，一年时间基本上可以补完之前没有入坑时的物料，并随着一年内组合的活动成为""老粉""〕",3 - 不高不低,3
从看小说到看书,看小说大众，看书并不。看小说九年，看书一年,>10年,小说100以内，书669.87r,资深玩家，在圈里小有名气，各种玩法都试过,3,3~6小时,入门看见完了，网上资源还少吗？电子书也有TXT也有，0r。精通：你好歹的是个付费用户吧1000r,入门一小时，精通5年,5 - 广为人知，老少咸宜的全民爱好,5
bim(建筑施工模型)动画,在学校里面学习，通过一些建模渲染剪辑软件给项目投标做对应的动画,1~3年,需要一台较高配置电脑花销几乎没有还有收入,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,一台电脑的钱吧课程很多都是可以找到免费的,一年多,2,2
18x漫画（本子）鉴赏,说是说鉴赏其实就是单纯的在看本子的时候顺便从各个角度（画师画风、剧情、选题）和朋友一下非专业人士的看法,5~10年,1000多吧，主要是fanbox和patreon上每个月的画师作品订阅费,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0~1000 看个人情况，可白嫖,入门大概1年，精通大概需要2~3年的时间大概给自己增加一些“阅历”,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
vtuber,,1~3年,300,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,∞,一周,,
摄影,,1~3年,30000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,300000,10年,,
调酒,,1~3年,1000,萌新入门阶段，还在摸索学习,1,<1小时,500/10000,3个月/2年,,
RC航模,自制遥控飞机、航线与特技飞行、第一人称飞行等。大疆时代之前的“无人机”。,3~5年,30000元,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,1000元，无限,半个月，五年以上,2,2
看番,,3~5年,500,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：0，精通：3～5万,入门：4小时（一部番剧），精通：无限,无须作答,
唱歌,相对比较大众,1~3年,10,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,10000块,1年,5 - 广为人知，老少咸宜的全民爱好,5
模型,由电视剧，动画电影等人物（或形体）为原型的制造出的玩具，,3~5年,10000左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门2000左右     精通20000+,入门一年   精通3年+,3 - 不高不低,3
看动画电影,,>10年,几千吧，电影票之类的,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,时间和涉猎范围更重要吧,几年吧,5 - 广为人知，老少咸宜的全民爱好,5
furry,福瑞控，兽人控，指喜爱具有人类特征的动物的群体，圈子以爱好者、画师、服装师、建模师等组成，每位爱好者基本都有自我设定和形象，部分人具有扮演用的服装（兽装）或者定制物品（抱枕、模型等），每年各地都有组织的大、中、小型聚会。,1~3年,20000,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,10000,半年,2,2
插画,,3~5年,20000,爱好者程度，能带带萌新但依然仰望大佬,2,>6小时,10 15000,一个月 三年,3 - 不高不低,3
摄影,,3~5年,26000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,"100~80,000",一年~一直（非常看个人领悟以及系统教学）,5 - 广为人知，老少咸宜的全民爱好,5
写设子，包括世设、人设什么的,比如世设。先框个世界观，接着创组织、国家、里面的人、大事件，特别喜欢的设会画地图，人物（组织）关联图等,5~10年,3、4本空白本，几只黑笔，大部分的时间，RMB怎么估量,能试的都试过，比如打架的把武器造出来，写曲的自己从头玩编曲搞出来,,1~3小时,热爱,要看程度，水一下就一小时的事，好好玩要几年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
客製化鍵盤,,1~3年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,100000,一年,3 - 不高不低,3
动漫同人制品流程制作,包括小说，漫画周边制作流程,>10年,不敢_(:з」∠)_想，万以上了吧,萌新入门阶段，还在摸索学习,1,3~6小时,5千左右？,1年以上,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
HiFi耳机音箱,通过具有高保真回放功能的设备聆听音乐,1~3年,四到五千,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,入门几百块，精通不仅需要金钱投入，还要有一定的声学知识，有些就算玩了五六位数的所谓“老烧”可能连最基本的听力测试都过不了。,"入门  几个月
精通  未知",1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
摄影,,3~5年,1.5w,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,5000 1w,1年 3年,5 - 广为人知，老少咸宜的全民爱好,5
买本子,新的本子，新的开始,5~10年,2000,纯属爱好呀，就是爱买本子，送人本子,,<1小时,"入门:2元买个本子，好好记录每一行每一页
精通:无所谓什么精通
",蚌埠住了，突然怀疑是不是爱好。就是很爱买本子哈哈哈，新本子新开始,,
看电影,,3~5年,一两千,萌新入门阶段，还在摸索学习,1,1~3小时,主要是参加各种电影节的钱,10年？,,
玩游戏,,5~10年,15000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,700,一个月,,
研究吃的,看美食视频，吃播然后自己复刻,1~3年,就买菜的钱，不算花销吧，毕竟没这爱好也要吃,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,不知道，但美食博主们肯定都画了很多钱，因为看他们一直翻车,不知道，目前我觉得我做的挺好吃的，但是已经有美食博主的失败在前，我做就有经验了,,
宠物捕鸟蛛,就是各种各样的宠物捕鸟蛛，有树栖，地栖，穴居。基本是纯观赏性的宠物，观察它们的习性跟生活过程，配合造景能有很漂亮的环境。,3~5年,5w左右,资深玩家，在圈里小有名气，各种玩法都试过,3,<1小时,"入门的话，50块就可以了。
精通的话1w预算就可以体验比较完整的各种品种跟饲养过程。",入门需要三个月左右，精通需要两年的学习。,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
威士忌，鸡尾酒,,1~3年,2000+,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门300就勉强够，精通1500左右，但每年都在涨，涨幅不小，入门没关系，精通越来越贵了,入门5天就够，精通2个月？可能更短,,
收集手柄与玩游戏手柄,致力于收集把玩各种各样的游戏手柄,>10年,30万人民币,这个爱好成为了我的职业,,3~6小时,百元至几千,同玩游戏的时间相同，测试的时间多一些,3 - 不高不低,3
咖啡,,5~10年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门大概1000以内就可以，钱不需要花很多，但是需要了解比较多相关知识。精通的话如果是玩各种咖啡机，几十万也是有可能的,入门甚至都不用每天去做，每周有个一两天去了解就可以了。精通的话每天也不用1小时,3 - 不高不低,3
客制化键盘,属于键盘里面的小众定制化,3~5年,20万,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,2 -3 万,半年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
为兽人漫画配音,,<1年,200,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：0元 精通：无上限,入门：10分钟 精通：无上限,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
跑步,将后腿迈到前面的动作一直循环,3~5年,1000+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门200，精通200/入门200精通1000,1个月 1年,4,4
画画，唱歌，摄影，乐器，二次元！asmr,,3~5年,0，b站都有，不用花钱哈哈哈,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,没有门槛吧,睡前听一听就好，主要是爽,,
兵棋,在桌面或者电脑上模拟一场战争，几个玩家扮演历史上的势力对弈,1~3年,三千上下,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门三四百，在实际用来玩的情况下到头的花销也就是数千,入门一个月，具体的兵棋不同精通的时间不同,2,2
玩广东音乐，演奏广东音乐,参加学校的广东音乐民乐团，例如；雨打芭蕉、彩云追月、赛龙夺锦、步步高等等的曲子都会上台演奏,1~3年,约为3000多块，给自己买高胡等等的还有其他配件,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门可能要小几千买乐器，如果加入乐社或者是民乐团那乐器就不用自己买了，自己能比较精通某一种乐器的话，买的乐器件数就增加，玩到精通可能也得上万,这个不好说，看个人能力和领悟，普通人入门还是要花很多时间的，至少一年入门差不多,3 - 不高不低,3
术力口（vocaloid,VOCALOID（日语：ボーカロイド）是日本乐器制造商雅马哈公司开发的电子音乐制作语音合成软件。在软件中输入音调和歌词，就可以合成出原为人类声音的歌声。（照办百度,5~10年,小几千吧，吃谷子，cosplay什么的,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门可以不用钱，只是听听歌了解一下p主什么的，精通可以自己做p主，买声库680人民币多的样子，做爱好者买周边听演唱会，总之金钱投入可以说是［0，+∞），并没有用金钱界定玩到精通的概念，只是支持形势不一样,并没有一个很清晰的时间界定……术力口圈子涉猎非常广泛，你可以只是喜欢听歌，可以喜欢他们的形象（比如初音未来，镜音双子），可以喜欢让他们“唱”你喜欢的歌，可以自己写曲子让他们“唱”……要深入的去了解他们的内核要花不少时间，我个人从入门到现在花了八年时间，每天都会有很多人写出新曲子，不断更新，丰满术力口，这可以说是一个活的“社区”，所以我认为没有具体的时间界定吧,3 - 不高不低,3
听音乐,,5~10年,0,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0,2年,,
麻将,日麻,1~3年,1000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0/∞,入门3小时？/精通的话不好说至少得1年吧,4,4
音游,简单来讲就是跟着音乐节奏敲击按键,>10年,如果算上iPad/游戏机的话得10000+，不然就是1000-2000,资深玩家，在圈里小有名气，各种玩法都试过,3,<1小时,0，只要有一台还算可以手机。,1-2年,3 - 不高不低,3
爬宠,并不小众，但是很多人只是看过，大部分都是不了解的,1~3年,1w,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,无上限，昂贵的爬宠太多了，但是也有便宜的,一两年吧,,
攒表情包,不算小众吧应该，现在大部分人都会用，不过也有很多都是用软件内带的，自己的图库可能不会很多？但是中老年人可能不会太用表情包,>10年,0,资深玩家，在圈里小有名气，各种玩法都试过,3,<1小时,入门和精通都是0,每天上网多看看就顺手存了,4,4
